Author_Name,Book_Title,Rank,Rating,Score,Votes
Margaret Atwood,The Handmaid's Tale,1,"4.09 avg rating — 1,103,055 ratings","score: 30,733",314 people voted
Suzanne Collins,"The Hunger Games (The Hunger Games, #1)",2,"4.33 avg rating — 5,742,381 ratings","score: 28,553",292 people voted
Mary Wollstonecraft Shelley,Frankenstein,3,"3.78 avg rating — 1,023,619 ratings","score: 21,909",224 people voted
Madeleine L'Engle,"A Wrinkle in Time (Time Quintet, #1)",4,"4.01 avg rating — 903,708 ratings","score: 18,720",196 people voted
Ursula K. Le Guin,The Left Hand of Darkness (Hainish Cycle #4),5,"4.06 avg rating — 98,822 ratings","score: 17,920",184 people voted
Veronica Roth,"Divergent (Divergent, #1)",6,"4.21 avg rating — 2,603,197 ratings","score: 13,326",138 people voted
Suzanne Collins,"Catching Fire (The Hunger Games, #2)",7,"4.29 avg rating — 2,200,976 ratings","score: 12,749",133 people voted
Lois Lowry,"The Giver (The Giver, #1)",8,"4.12 avg rating — 1,535,394 ratings","score: 12,399",129 people voted
Octavia E. Butler,Kindred,9,"4.23 avg rating — 72,373 ratings","score: 11,070",116 people voted
Ursula K. Le Guin,The Dispossessed (Hainish Cycle #6),10,"4.21 avg rating — 71,658 ratings","score: 10,731",112 people voted
Margaret Atwood,"Oryx and Crake (MaddAddam, #1)",11,"4.01 avg rating — 197,835 ratings","score: 10,117",107 people voted
Suzanne Collins,"Mockingjay (The Hunger Games, #3)",12,"4.03 avg rating — 2,072,231 ratings","score: 9,807",104 people voted
Audrey Niffenegger,The Time Traveler's Wife,13,"3.96 avg rating — 1,446,884 ratings","score: 9,193",98 people voted
Connie Willis,"Doomsday Book (Oxford Time Travel, #1)",14,"4.03 avg rating — 43,257 ratings","score: 8,935",96 people voted
Ursula K. Le Guin,The Lathe of Heaven,15,"4.11 avg rating — 44,005 ratings","score: 7,775",84 people voted
Ann Leckie,Ancillary Justice (Imperial Radch #1),16,"3.98 avg rating — 66,225 ratings","score: 7,336",81 people voted
Lois McMaster Bujold,"Shards of Honour  (Vorkosigan Saga, #1)",17,"4.11 avg rating — 25,887 ratings","score: 7,017",75 people voted
Connie Willis,"To Say Nothing of the Dog (Oxford Time Travel, #2)",18,"4.13 avg rating — 29,648 ratings","score: 6,890",74 people voted
Mary Doria Russell,"The Sparrow (The Sparrow, #1)",19,"4.17 avg rating — 52,761 ratings","score: 6,873",72 people voted
Anne McCaffrey,"Dragonflight (Dragonriders of Pern, #1)",20,"4.10 avg rating — 116,167 ratings","score: 6,802",74 people voted
Octavia E. Butler,"Parable of the Sower (Earthseed, #1)",21,"4.16 avg rating — 42,267 ratings","score: 6,653",71 people voted
Lois McMaster Bujold,"The Warrior's Apprentice (Vorkosigan Saga, #2)",22,"4.29 avg rating — 20,959 ratings","score: 6,087",65 people voted
Lois McMaster Bujold,"Barrayar (Vorkosigan Saga, #7)",23,"4.31 avg rating — 22,112 ratings","score: 5,623",60 people voted
Stephenie Meyer,"The Host (The Host, #1)",24,"3.84 avg rating — 829,057 ratings","score: 5,274",56 people voted
Veronica Roth,"Insurgent (Divergent, #2)",25,"4.05 avg rating — 1,045,927 ratings","score: 4,899",54 people voted
Lois McMaster Bujold,"Memory (Vorkosigan Saga, #10)",26,"4.45 avg rating — 13,951 ratings","score: 4,682",51 people voted
P.D. James,The Children of Men,27,"3.68 avg rating — 36,108 ratings","score: 4,484",49 people voted
G.S. Jennsen,"Starshine: Aurora Rising Book One (Aurora Rhapsody, #1)",28,"3.91 avg rating — 2,147 ratings","score: 4,394",45 people voted
Margaret Atwood,"The Year of the Flood  (MaddAddam, #2)",29,"4.06 avg rating — 92,243 ratings","score: 4,343",47 people voted
Anne McCaffrey,"Crystal Singer (Crystal Singer, #1)",30,"4.09 avg rating — 17,775 ratings","score: 4,235",47 people voted
Lois McMaster Bujold,"Mirror Dance (Vorkosigan Saga, #8)",31,"4.33 avg rating — 17,332 ratings","score: 4,120",47 people voted
Octavia E. Butler,"Lilith's Brood (Xenogenesis, #1-3)",32,"4.33 avg rating — 12,574 ratings","score: 4,108",47 people voted
Lois McMaster Bujold,"The Vor Game (Vorkosigan Saga, #6)",33,"4.28 avg rating — 18,977 ratings","score: 3,895",46 people voted
Octavia E. Butler,"Wild Seed (Patternmaster, #1)",34,"4.21 avg rating — 14,438 ratings","score: 3,842",43 people voted
Madeleine L'Engle,"A Wind in the Door (Time Quintet, #2)",35,"4.04 avg rating — 106,044 ratings","score: 3,700",42 people voted
Lois McMaster Bujold,"A Civil Campaign (Vorkosigan Saga, #12)",36,"4.43 avg rating — 14,496 ratings","score: 3,683",43 people voted
Lois McMaster Bujold,"Brothers in Arms (Vorkosigan Saga, #5)",37,"4.21 avg rating — 13,277 ratings","score: 3,653",43 people voted
Lois McMaster Bujold,"Cetaganda (Vorkosigan Saga, #9)",38,"4.17 avg rating — 14,831 ratings","score: 3,618",43 people voted
Joan D. Vinge,"The Snow Queen (The Snow Queen Cycle, #1)",39,"3.95 avg rating — 11,144 ratings","score: 3,535",43 people voted
Marissa Meyer,"Cinder (The Lunar Chronicles, #1)",40,"4.15 avg rating — 582,936 ratings","score: 3,440",38 people voted
C.J. Cherryh,"Downbelow Station (The Company Wars, #1)",41,"3.91 avg rating — 12,110 ratings","score: 3,381",40 people voted
Anne McCaffrey,"The Ship Who Sang (Brainship, #1)",42,"4.01 avg rating — 21,161 ratings","score: 3,361",39 people voted
Deborah O'Neill Cordes,"Dragon Dawn (Dinosaurian Time Travel, #1)",43,3.81 avg rating — 194 ratings,"score: 3,340",34 people voted
Anne McCaffrey,"Dragonsong (Harper Hall, #1)",44,"4.25 avg rating — 43,821 ratings","score: 3,092",36 people voted
Lois McMaster Bujold,"Falling Free (Vorkosigan Saga, #4)",45,"3.83 avg rating — 16,015 ratings","score: 3,054",37 people voted
Lois McMaster Bujold,"Ethan of Athos (Vorkosigan Saga, #3)",46,"3.76 avg rating — 11,391 ratings","score: 2,904",36 people voted
Madeleine L'Engle,"A Swiftly Tilting Planet (Time Quintet, #3)",47,"4.11 avg rating — 95,090 ratings","score: 2,831",32 people voted
Octavia E. Butler,"Dawn (Xenogenesis, #1)",48,"4.12 avg rating — 22,785 ratings","score: 2,755",32 people voted
Lois McMaster Bujold,"Komarr (Vorkosigan Saga, #11)",49,"4.30 avg rating — 12,913 ratings","score: 2,579",31 people voted
C.J. Cherryh,"Foreigner (Foreigner, #1)",50,"3.94 avg rating — 7,158 ratings","score: 2,547",30 people voted
Kate Wilhelm,Where Late the Sweet Birds Sang,51,"3.87 avg rating — 8,284 ratings","score: 2,535",30 people voted
Nancy Kress,"Beggars in Spain (Sleepless, #1)",52,"3.94 avg rating — 6,813 ratings","score: 2,526",30 people voted
James Tiptree Jr.,Her Smoke Rose Up Forever,53,"4.21 avg rating — 3,311 ratings","score: 2,524",29 people voted
Tanith Lee,"The Silver Metal Lover (Silver Metal Lover, #1)",54,"4.03 avg rating — 3,384 ratings","score: 2,504",29 people voted
Lois McMaster Bujold,"Cordelia's Honor (Vorkosigan Omnibus, #1)",55,"4.37 avg rating — 11,641 ratings","score: 2,498",31 people voted
C.J. Cherryh,The Pride of Chanur (Chanur #1),56,"3.92 avg rating — 5,913 ratings","score: 2,469",31 people voted
Emily St. John Mandel,Station Eleven,57,"4.03 avg rating — 253,872 ratings","score: 2,450",28 people voted
C.J. Cherryh,"Cyteen (Cyteen, #1-3)",58,"really liked it 4.00 avg rating — 9,285 ratings","score: 2,316",30 people voted
Lois McMaster Bujold,Borders of Infinity (Vorkosigan Saga [Publication] #5.1-5.3),59,"4.24 avg rating — 8,713 ratings","score: 2,306",29 people voted
Sheri S. Tepper,"Grass (Arbai, #1)",60,"4.04 avg rating — 9,267 ratings","score: 2,203",27 people voted
K.T. Hanna,"Chameleon (The Domino Project, #1)",61,4.18 avg rating — 191 ratings,"score: 2,199",22 people voted
Sheri S. Tepper,The Gate to Women's Country,62,"4.05 avg rating — 11,542 ratings","score: 2,191",27 people voted
Joanna Russ,The Female Man,63,"3.54 avg rating — 5,351 ratings","score: 2,128",26 people voted
Kage Baker,"In the Garden of Iden (The Company, #1)",64,"3.77 avg rating — 4,995 ratings","score: 2,038",26 people voted
Ceri London,"Rogue Genesis (Shimmer in the Dark, #1)",65,4.44 avg rating — 133 ratings,"score: 2,013",21 people voted
Octavia E. Butler,"Parable of the Talents (Earthseed, #2)",66,"4.24 avg rating — 17,408 ratings","score: 2,006",25 people voted
C.J. Cherryh,The Faded Sun Trilogy (The Faded Sun #1-3),67,"4.12 avg rating — 4,628 ratings","score: 1,931",23 people voted
Lois McMaster Bujold,"Diplomatic Immunity (Vorkosigan Saga, #13)",68,"4.18 avg rating — 12,109 ratings","score: 1,914",26 people voted
Naomi Novik,"His Majesty's Dragon (Temeraire, #1)",69,"4.06 avg rating — 67,100 ratings","score: 1,849",22 people voted
Elizabeth Moon,The Speed of Dark,70,"really liked it 4.00 avg rating — 9,438 ratings","score: 1,819",24 people voted
Marion Zimmer Bradley,Darkover Landfall,71,"3.88 avg rating — 5,952 ratings","score: 1,748",21 people voted
Hayley Stone,"Machinations (Machinations, #1)",72,3.79 avg rating — 248 ratings,"score: 1,698",17 people voted
G.S. Jennsen,"Vertigo (Aurora Rhapsody, #2)",73,"4.22 avg rating — 1,042 ratings","score: 1,684",18 people voted
Lois McMaster Bujold,"CryoBurn (Vorkosigan Saga, #14)",74,"4.06 avg rating — 11,943 ratings","score: 1,683",24 people voted
Octavia E. Butler,"Seed to Harvest (Patternmaster, #1-4)",75,"4.33 avg rating — 3,946 ratings","score: 1,659",20 people voted
Ursula K. Le Guin,The Wind's Twelve Quarters,76,"4.04 avg rating — 4,042 ratings","score: 1,572",19 people voted
Elizabeth Moon,Remnant Population,77,"4.06 avg rating — 3,628 ratings","score: 1,547",20 people voted
Ursula K. Le Guin,The Word for World is Forest,78,"3.95 avg rating — 12,909 ratings","score: 1,510",20 people voted
Ann Aguirre,"Grimspace (Sirantha Jax, #1)",79,"3.73 avg rating — 12,663 ratings","score: 1,497",17 people voted
Nicola Griffith,Ammonite,80,"3.86 avg rating — 3,716 ratings","score: 1,477",20 people voted
Beth Revis,"Across the Universe (Across the Universe, #1)",81,"3.77 avg rating — 107,423 ratings","score: 1,435",16 people voted
C.J. Cherryh,"Inheritor (Foreigner, #3)",82,"4.19 avg rating — 3,610 ratings","score: 1,392",18 people voted
Mya Robarts,The V Girl,83,"4.02 avg rating — 7,843 ratings","score: 1,380",15 people voted
Lauren Oliver,"Delirium (Delirium, #1)",84,"3.98 avg rating — 392,313 ratings","score: 1,366",15 people voted
Vonda N. McIntyre,Dreamsnake,85,"3.86 avg rating — 8,407 ratings","score: 1,324",18 people voted
Pamela Sargent,Women of Wonder: Science-Fiction Stories by Women about Women,86,really liked it 4.00 avg rating — 272 ratings,"score: 1,297",16 people voted
Martha Wells,"All Systems Red (The Murderbot Diaries, #1)",87,"4.15 avg rating — 35,121 ratings","score: 1,296",14 people voted
Elizabeth Moon,"Trading in Danger (Vatta's War, #1)",88,"3.98 avg rating — 11,164 ratings","score: 1,286",16 people voted
C.J. Cherryh,"Invader (Foreigner, #2)",89,"4.17 avg rating — 4,058 ratings","score: 1,276",17 people voted
Marge Piercy,Woman on the Edge of Time,89,"3.95 avg rating — 12,600 ratings","score: 1,276",15 people voted
Maureen F. McHugh,China Mountain Zhang,91,"3.94 avg rating — 3,453 ratings","score: 1,253",18 people voted
S.L. Viehl,"Stardoc (Stardoc, #1)",92,"3.80 avg rating — 3,632 ratings","score: 1,230",16 people voted
Margaret Atwood,"MaddAddam (MaddAddam, #3)",93,"really liked it 4.00 avg rating — 52,206 ratings","score: 1,212",13 people voted
Tanya Huff,"Valor's Choice (Confederation, #1)",94,"3.98 avg rating — 6,900 ratings","score: 1,165",16 people voted
Connie Willis,Bellwether,95,"3.93 avg rating — 10,069 ratings","score: 1,142",13 people voted
C.S. Friedman,This Alien Shore,96,"4.04 avg rating — 3,262 ratings","score: 1,130",15 people voted
Catherine Asaro,"Primary Inversion (Saga of the Skolian Empire, #1)",97,"3.74 avg rating — 3,686 ratings","score: 1,119",15 people voted
Marissa Meyer,"Scarlet (The Lunar Chronicles, #2)",98,"4.29 avg rating — 265,354 ratings","score: 1,115",12 people voted
Nancy Kress,"Probability Moon (Probability, #1)",99,"3.61 avg rating — 1,292 ratings","score: 1,107",15 people voted
Nancy Farmer,"The House of the Scorpion (Matteo Alacran, #1)",100,"4.10 avg rating — 72,379 ratings","score: 1,083",12 people voted
